artist,title,album,recordLabel,sequence,programTitle,episodeTitle,episodeTimestamp
Ola Szmidt,Rooted,,Accidental Records,3,Gilles Peterson,"Joining the Musical Dots: Alabaster dePlume & Friends, Kay Suzuki",2022-10-22T15:00:00+01:00
John Wizards,Rwangaghunga,,Eat Your Own Record,4,Gilles Peterson,"Joining the Musical Dots: Alabaster dePlume & Friends, Kay Suzuki",2022-10-22T15:00:00+01:00
Rodriguez,Can't Get Away,,Sussex Records,5,Gilles Peterson,"Joining the Musical Dots: Alabaster dePlume & Friends, Kay Suzuki",2022-10-22T15:00:00+01:00
Little Simz,101 FM,,Age 101,6,Gilles Peterson,"Joining the Musical Dots: Alabaster dePlume & Friends, Kay Suzuki",2022-10-22T15:00:00+01:00
Yusef Lateef,Like It Is,,Atlantic Records,7,Gilles Peterson,"Joining the Musical Dots: Alabaster dePlume & Friends, Kay Suzuki",2022-10-22T15:00:00+01:00
Little Simz,Woman,,Age 101,8,Gilles Peterson,"Joining the Musical Dots: Alabaster dePlume & Friends, Kay Suzuki",2022-10-22T15:00:00+01:00
Little SimzObongjayar,Point and Kill,,Age 101,9,Gilles Peterson,"Joining the Musical Dots: Alabaster dePlume & Friends, Kay Suzuki",2022-10-22T15:00:00+01:00
Elsewhere Sonido,Troubadours,,,10,Gilles Peterson,"Joining the Musical Dots: Alabaster dePlume & Friends, Kay Suzuki",2022-10-22T15:00:00+01:00
Gary Pacific Orchestra,Soft Wind,,selected sound,11,Gilles Peterson,"Joining the Musical Dots: Alabaster dePlume & Friends, Kay Suzuki",2022-10-22T15:00:00+01:00
White Girl WastedThe PuristMF DOOMJay ElectronicaSonnyJim,Barz SimpsonMF DOOMJay ElectronicaSonnyJim,,Daupe!,12,Gilles Peterson,"Joining the Musical Dots: Alabaster dePlume & Friends, Kay Suzuki",2022-10-22T15:00:00+01:00
Mixed Bag,Ziaus,,Soul Jazz Records,13,Gilles Peterson,"Joining the Musical Dots: Alabaster dePlume & Friends, Kay Suzuki",2022-10-22T15:00:00+01:00
R.A.P Ferriera,Fighting Back,,Ruby Yacht,14,Gilles Peterson,"Joining the Musical Dots: Alabaster dePlume & Friends, Kay Suzuki",2022-10-22T15:00:00+01:00
Muriel Grossman,Resonance,,,15,Gilles Peterson,"Joining the Musical Dots: Alabaster dePlume & Friends, Kay Suzuki",2022-10-22T15:00:00+01:00
El Combo Batanga,Toca La Campana,,Tucxone Records,16,Gilles Peterson,"Joining the Musical Dots: Alabaster dePlume & Friends, Kay Suzuki",2022-10-22T15:00:00+01:00
Gaoulé Mizik,A Ka Titine (Kay Suzuki Gwoka Dub),,,17,Gilles Peterson,"Joining the Musical Dots: Alabaster dePlume & Friends, Kay Suzuki",2022-10-22T15:00:00+01:00
HORIZON,Ti malo,,Time Capsule,18,Gilles Peterson,"Joining the Musical Dots: Alabaster dePlume & Friends, Kay Suzuki",2022-10-22T15:00:00+01:00
Kan Ogasawara,Honowo,,Time Capsule,19,Gilles Peterson,"Joining the Musical Dots: Alabaster dePlume & Friends, Kay Suzuki",2022-10-22T15:00:00+01:00
The RAH Band,Messages from the Stars,,TMT Records,20,Gilles Peterson,"Joining the Musical Dots: Alabaster dePlume & Friends, Kay Suzuki",2022-10-22T15:00:00+01:00
Takashi KokuboNobuyoshi Koshibe,Kiki (Jungle At Night),,Time Capsule,21,Gilles Peterson,"Joining the Musical Dots: Alabaster dePlume & Friends, Kay Suzuki",2022-10-22T15:00:00+01:00
Keiichi Oku,Ryoko's theme,,Time Capsule,22,Gilles Peterson,"Joining the Musical Dots: Alabaster dePlume & Friends, Kay Suzuki",2022-10-22T15:00:00+01:00
Symphonic Tone Poem For Brother Yusef,Fourth Movement,,Strut Records,23,Gilles Peterson,"Joining the Musical Dots: Alabaster dePlume & Friends, Kay Suzuki",2022-10-22T15:00:00+01:00
Burial,Exokind,,Hyperdub,24,Gilles Peterson,"Joining the Musical Dots: Alabaster dePlume & Friends, Kay Suzuki",2022-10-22T15:00:00+01:00
Detroit Contemporary 4Stanley CowellCharles MooreRon English,"Effi (Live in Detroit, 1965)Stanley CowellCharles MooreRon English",,Strut Records,25,Gilles Peterson,"Joining the Musical Dots: Alabaster dePlume & Friends, Kay Suzuki",2022-10-22T15:00:00+01:00
Matters UnknownOlivia Bhattacharjee,Other SideOlivia Bhattacharjee,,New Soil,26,Gilles Peterson,"Joining the Musical Dots: Alabaster dePlume & Friends, Kay Suzuki",2022-10-22T15:00:00+01:00
Carmen Lundy,Daughter of the Universe,,Afrasia Production,27,Gilles Peterson,"Joining the Musical Dots: Alabaster dePlume & Friends, Kay Suzuki",2022-10-22T15:00:00+01:00
Robert MitchellTRUE THINKDeborah JordanXan Bloco,In The AirDeborah JordanXan Bloco,,Buck Records Limited,28,Gilles Peterson,"Joining the Musical Dots: Alabaster dePlume & Friends, Kay Suzuki",2022-10-22T15:00:00+01:00
Collectivo,Ora Basta,,,29,Gilles Peterson,"Joining the Musical Dots: Alabaster dePlume & Friends, Kay Suzuki",2022-10-22T15:00:00+01:00
Alabaster dePlume,Don't Forget Your Precious (Live at BBC Maida Vale),,,30,Gilles Peterson,"Joining the Musical Dots: Alabaster dePlume & Friends, Kay Suzuki",2022-10-22T15:00:00+01:00
Alabaster dePlume,Untitled (Live at BBC Maida Vale),,,31,Gilles Peterson,"Joining the Musical Dots: Alabaster dePlume & Friends, Kay Suzuki",2022-10-22T15:00:00+01:00
Alabaster dePlume,I'm Good At Not Crying (Live at BBC Maida Vale),,,32,Gilles Peterson,"Joining the Musical Dots: Alabaster dePlume & Friends, Kay Suzuki",2022-10-22T15:00:00+01:00
Alabaster dePlume,Again (Live at BBC Maida Vale),,,33,Gilles Peterson,"Joining the Musical Dots: Alabaster dePlume & Friends, Kay Suzuki",2022-10-22T15:00:00+01:00
Barney McCall,John Coltrane (Toshio Matsuura Remix),,,34,Gilles Peterson,"Joining the Musical Dots: Alabaster dePlume & Friends, Kay Suzuki",2022-10-22T15:00:00+01:00
Pearson Sound,Red Sky,,Hessle Audio,35,Gilles Peterson,"Joining the Musical Dots: Alabaster dePlume & Friends, Kay Suzuki",2022-10-22T15:00:00+01:00
Brigitte Fontaine avec Ensemble Of Chicago,Comme À La Radio,,Saravah,36,Gilles Peterson,"Joining the Musical Dots: Alabaster dePlume & Friends, Kay Suzuki",2022-10-22T15:00:00+01:00
Joyce Sims,Come Into My Life,,Sleeping Bag Records,37,Gilles Peterson,"Joining the Musical Dots: Alabaster dePlume & Friends, Kay Suzuki",2022-10-22T15:00:00+01:00
Mantronix,Got To Have Your Love,,Virgin Records,38,Gilles Peterson,"Joining the Musical Dots: Alabaster dePlume & Friends, Kay Suzuki",2022-10-22T15:00:00+01:00
Joyce Sims,All and All,,Sleeping Bag Records,39,Gilles Peterson,"Joining the Musical Dots: Alabaster dePlume & Friends, Kay Suzuki",2022-10-22T15:00:00+01:00
Roberto Neves,Sandra Maria,,,40,Gilles Peterson,"Joining the Musical Dots: Alabaster dePlume & Friends, Kay Suzuki",2022-10-22T15:00:00+01:00
Magalhaes e sua Guitarra,Xango,,Analog Africa,41,Gilles Peterson,"Joining the Musical Dots: Alabaster dePlume & Friends, Kay Suzuki",2022-10-22T15:00:00+01:00
Gerry Readpink $ock,Where You Come Frompink $ock,,BMG Entertainment,42,Gilles Peterson,"Joining the Musical Dots: Alabaster dePlume & Friends, Kay Suzuki",2022-10-22T15:00:00+01:00
Steel an’ Skin,Afro Punk Reggae (Dub),,EM Records,43,Gilles Peterson,"Joining the Musical Dots: Alabaster dePlume & Friends, Kay Suzuki",2022-10-22T15:00:00+01:00
Rob Gallagher,Heavy Hitters,,!K7 Records,44,Gilles Peterson,"Joining the Musical Dots: Alabaster dePlume & Friends, Kay Suzuki",2022-10-22T15:00:00+01:00
Vice Beats Presents,That Love (Prelude),,EQ Music,0,Gilles Peterson,Joining the Musical Dots: Camilla George,2022-10-15T15:00:00+01:00
Vice Beats Presents,That Love,,EQ Music,1,Gilles Peterson,Joining the Musical Dots: Camilla George,2022-10-15T15:00:00+01:00
Contact U,Inside You,,K Production,2,Gilles Peterson,Joining the Musical Dots: Camilla George,2022-10-15T15:00:00+01:00
PawPaw Rod,Message (Better Days),,GODMODE,3,Gilles Peterson,Joining the Musical Dots: Camilla George,2022-10-15T15:00:00+01:00
Chaka KhanRonnie Cuba,Love Has Fallen On MeRonnie Cuba,,Warner Records,4,Gilles Peterson,Joining the Musical Dots: Camilla George,2022-10-15T15:00:00+01:00
Terence Etc.,In Contemplation of Clair's Scent,,,5,Gilles Peterson,Joining the Musical Dots: Camilla George,2022-10-15T15:00:00+01:00
Tsugaru Jongara Bushi Drum & Tsugaru Jamisen,Tsugaru Jongara Festival,,Akira ishikawa,6,Gilles Peterson,Joining the Musical Dots: Camilla George,2022-10-15T15:00:00+01:00
Ronnie Cuber,Afro Cuber,,Electric Bird,7,Gilles Peterson,Joining the Musical Dots: Camilla George,2022-10-15T15:00:00+01:00
Seu JorgeMilton Nascimento,Tudo Que Você Podia Ser,,,8,Gilles Peterson,Joining the Musical Dots: Camilla George,2022-10-15T15:00:00+01:00
Yusef Lateef,Happyology,,Savoy Records,9,Gilles Peterson,Joining the Musical Dots: Camilla George,2022-10-15T15:00:00+01:00
Donald Byrd,"Cristo Redentor (Live in Detroit, 1978)",,,10,Gilles Peterson,Joining the Musical Dots: Camilla George,2022-10-15T15:00:00+01:00
Billy Bang SextetWilliam Parker,Rainbow Gladiator,,Soul Note,11,Gilles Peterson,Joining the Musical Dots: Camilla George,2022-10-15T15:00:00+01:00
William Parker's Quartet,Song Of Hope,,Thirsty Ear Recordings,12,Gilles Peterson,Joining the Musical Dots: Camilla George,2022-10-15T15:00:00+01:00
William Parker,Silver Sunshine,,AUM Fidelity,13,Gilles Peterson,Joining the Musical Dots: Camilla George,2022-10-15T15:00:00+01:00
William Parker,Desert Flower,,before song of hope,14,Gilles Peterson,Joining the Musical Dots: Camilla George,2022-10-15T15:00:00+01:00
Count Ossie,Four Hundred Years,,Dub Store Records,15,Gilles Peterson,Joining the Musical Dots: Camilla George,2022-10-15T15:00:00+01:00
Brother Moves On,B2,,,16,Gilles Peterson,Joining the Musical Dots: Camilla George,2022-10-15T15:00:00+01:00
Tomorrow's WarriorsCamilla GeorgeTomorrow's Warriors Soon Come Ensemble,Emem (Peace),,Tomorrow's Warriors Ltd.,17,Gilles Peterson,Joining the Musical Dots: Camilla George,2022-10-15T15:00:00+01:00
Camilla George,Abasi Isang,,Ever Records,18,Gilles Peterson,Joining the Musical Dots: Camilla George,2022-10-15T15:00:00+01:00
Tomorrow's WarriorsRosie TurtonTomorrow's Warriors Soon Come Ensemble,Joyful Sound,,Tomorrow's Warriors Ltd.,19,Gilles Peterson,Joining the Musical Dots: Camilla George,2022-10-15T15:00:00+01:00
Two Banks of Four,Flags And Words,,Jason Yarde,20,Gilles Peterson,Joining the Musical Dots: Camilla George,2022-10-15T15:00:00+01:00
Monsieur MALA,Til Daylight,,Bridge The Gap,21,Gilles Peterson,Joining the Musical Dots: Camilla George,2022-10-15T15:00:00+01:00
Ishmael Ensemble,The Rebuke,,,22,Gilles Peterson,Joining the Musical Dots: Camilla George,2022-10-15T15:00:00+01:00
RAP Ferreria,tenessee farmer jutsu,,Ruby Yacht,23,Gilles Peterson,Joining the Musical Dots: Camilla George,2022-10-15T15:00:00+01:00
Chu Kosaka,Bon Voyage Hatoba,,Trio Records,24,Gilles Peterson,Joining the Musical Dots: Camilla George,2022-10-15T15:00:00+01:00
Pedrinho Sampaio,No Ar... Um Grito de Guerra,,Remada,25,Gilles Peterson,Joining the Musical Dots: Camilla George,2022-10-15T15:00:00+01:00
Cornelius,Lazy,,Trattoria,26,Gilles Peterson,Joining the Musical Dots: Camilla George,2022-10-15T15:00:00+01:00
Louis Cole,Failing In A Cooler Way,,Brainfeeder,27,Gilles Peterson,Joining the Musical Dots: Camilla George,2022-10-15T15:00:00+01:00
Daphni,Fly Away,,Jiaolong,28,Gilles Peterson,Joining the Musical Dots: Camilla George,2022-10-15T15:00:00+01:00
Louis Cole,Failing In A Cooler Way,,Brainfeeder,29,Gilles Peterson,Joining the Musical Dots: Camilla George,2022-10-15T15:00:00+01:00
La Perla,Chicharachera,,Mambo Negro Records,30,Gilles Peterson,Joining the Musical Dots: Camilla George,2022-10-15T15:00:00+01:00
Vieux Farka Toure & KhruangbinKhruangbin,Tamalla,,Dead Oceans,31,Gilles Peterson,Joining the Musical Dots: Camilla George,2022-10-15T15:00:00+01:00
Raz & Afla,Stringer Bells,,Mawimbi France,32,Gilles Peterson,Joining the Musical Dots: Camilla George,2022-10-15T15:00:00+01:00
Hagan,Textures,,Python Syndicate,33,Gilles Peterson,Joining the Musical Dots: Camilla George,2022-10-15T15:00:00+01:00
Reel PeopleVanessa Freeman,The Light (4phlash Rework Edit),,,34,Gilles Peterson,Joining the Musical Dots: Camilla George,2022-10-15T15:00:00+01:00
Etta James,All The Way Down (Ruas Edit),,,35,Gilles Peterson,Joining the Musical Dots: Camilla George,2022-10-15T15:00:00+01:00
Eric Kleinschuster SextetClifford Jordan,Household of Saud,,ORF,36,Gilles Peterson,Joining the Musical Dots: Camilla George,2022-10-15T15:00:00+01:00
SAULTChronixx,AngelChronixx,,Forever Living Originals,37,Gilles Peterson,Joining the Musical Dots: Camilla George,2022-10-15T15:00:00+01:00
MeekaWetman,Do SomethingWetman,,End Time Sound,38,Gilles Peterson,Joining the Musical Dots: Camilla George,2022-10-15T15:00:00+01:00
Bantu Continua Uhuru Consciouness,Afro Psychedelic,,On The Corner Records,39,Gilles Peterson,Joining the Musical Dots: Camilla George,2022-10-15T15:00:00+01:00
Tyroneisaacstuart,Purpose,,New Soil,40,Gilles Peterson,Joining the Musical Dots: Camilla George,2022-10-15T15:00:00+01:00
JK Group,Rising Part I,,La Sape,41,Gilles Peterson,Joining the Musical Dots: Camilla George,2022-10-15T15:00:00+01:00
Myele ManzanzaOmar,Therapy,,Deep Matter,42,Gilles Peterson,Joining the Musical Dots: Camilla George,2022-10-15T15:00:00+01:00
Wallace & PS,Cynical Gringo,,,43,Gilles Peterson,Joining the Musical Dots: Camilla George,2022-10-15T15:00:00+01:00
Fabian Miranda,Destiny,,Fox,0,Gilles Peterson,05/11/2022,2022-11-05T15:00:00+00:00
Fabian Miranda,Destiny (Dub),,,1,Gilles Peterson,05/11/2022,2022-11-05T15:00:00+00:00
SAULT,God Is In Control,,,2,Gilles Peterson,05/11/2022,2022-11-05T15:00:00+00:00
McKoy,Love Me Tonight,,,3,Gilles Peterson,05/11/2022,2022-11-05T15:00:00+00:00
McKoy,Family,,Right Track Records,4,Gilles Peterson,05/11/2022,2022-11-05T15:00:00+00:00
SnowboyNoel McKoy,Lucky Fellow,,Acid Jazz,5,Gilles Peterson,05/11/2022,2022-11-05T15:00:00+00:00
Ski OakenfullNoel McKoy,Let Me Be (Live at BBC Maida Vale),,,6,Gilles Peterson,05/11/2022,2022-11-05T15:00:00+00:00
Dave LeeOmar,Starlight (Grant Nelson Remix),,Z Records,7,Gilles Peterson,05/11/2022,2022-11-05T15:00:00+00:00
Voltage Brothers,Happening In The Streets (Domo Rework),,Lifesong,8,Gilles Peterson,05/11/2022,2022-11-05T15:00:00+00:00
Donald Byrd,"Black Byrd (Live at Montreux, 1973)",,Blue Note,9,Gilles Peterson,05/11/2022,2022-11-05T15:00:00+00:00
Avram Fefer Quartet,Bedouin Dream,,clean feed,10,Gilles Peterson,05/11/2022,2022-11-05T15:00:00+00:00
Donna Thompson,I Try,,PRAH Recording,11,Gilles Peterson,05/11/2022,2022-11-05T15:00:00+00:00
kingo halla,Water in The Rose,,,12,Gilles Peterson,05/11/2022,2022-11-05T15:00:00+00:00
The JuJu Exchange,The Exchange,,"Vinyl Me, Please",13,Gilles Peterson,05/11/2022,2022-11-05T15:00:00+00:00
SAULT,Together,,,14,Gilles Peterson,05/11/2022,2022-11-05T15:00:00+00:00
Lil SilvaBADBADNOTGOOD,To The Floor,,Nowhere Music Ltd,15,Gilles Peterson,05/11/2022,2022-11-05T15:00:00+00:00
Agile Experiments,Escape From The City,,DDR Records,16,Gilles Peterson,05/11/2022,2022-11-05T15:00:00+00:00
Saul Williams,Not In Our Name,,,17,Gilles Peterson,05/11/2022,2022-11-05T15:00:00+00:00
Martin Hederos,Hederos co Satie,,X5 - Warner Classics,18,Gilles Peterson,05/11/2022,2022-11-05T15:00:00+00:00
Jonah Yano,Always,,Innovative Leisure,19,Gilles Peterson,05/11/2022,2022-11-05T15:00:00+00:00
YvetteEduardo Conde,Upa Neguinho,,Discos Marcus Pereira,20,Gilles Peterson,05/11/2022,2022-11-05T15:00:00+00:00
Shh Quintet,Cabano Chant,,,21,Gilles Peterson,05/11/2022,2022-11-05T15:00:00+00:00
Saul Williams,Binary Stars,,FADER Distribution,22,Gilles Peterson,05/11/2022,2022-11-05T15:00:00+00:00
Saul Williams,Abo Ku Wundi Mubembe (People Above The Moon),,FADER Distribution,23,Gilles Peterson,05/11/2022,2022-11-05T15:00:00+00:00
Saul Williams,The Noise Came From Here,,FADER Distribution,24,Gilles Peterson,05/11/2022,2022-11-05T15:00:00+00:00
Saul Williams,Niberyeye Mw'ibuye (Underground),,FADER Distribution,25,Gilles Peterson,05/11/2022,2022-11-05T15:00:00+00:00
Bennie MaupinAdam Rudolph,Second Movement,,Strut Records,26,Gilles Peterson,05/11/2022,2022-11-05T15:00:00+00:00
Saul Williams,Ubujiji Nemera (Down For Some Ignorance),,FADER Distribution,27,Gilles Peterson,05/11/2022,2022-11-05T15:00:00+00:00
Saul Williams,Pensent Comme Leurs Livres Disent (Think Like Their Books Say),,FADER Distribution,28,Gilles Peterson,05/11/2022,2022-11-05T15:00:00+00:00
BCUCSaul Williams,IsivunguvunguSaul Williams,,Buda Music,29,Gilles Peterson,05/11/2022,2022-11-05T15:00:00+00:00
Dobie,Ripley's Theme,,Pussyfoot records,30,Gilles Peterson,05/11/2022,2022-11-05T15:00:00+00:00
Moor MotherSaul Williams,Black FlightSaul Williams,,Don Giovanni Records,31,Gilles Peterson,05/11/2022,2022-11-05T15:00:00+00:00
Dave MurraySaul Williams,CitizensSaul Williams,,Double Moon,32,Gilles Peterson,05/11/2022,2022-11-05T15:00:00+00:00
Jackie McLean QuintetSaul Williams,HipnosisSaul Williams,,Blue Note,33,Gilles Peterson,05/11/2022,2022-11-05T15:00:00+00:00
Charles Stepney,Black Gold,,International Anthem,34,Gilles Peterson,05/11/2022,2022-11-05T15:00:00+00:00
Matthew Halsall,Changing Earth,,Gondwana Records,35,Gilles Peterson,05/11/2022,2022-11-05T15:00:00+00:00
SAULT,Love Will Free Your Mind,,,36,Gilles Peterson,05/11/2022,2022-11-05T15:00:00+00:00
SminoCory HenryRavyn Lenae,Settle DownCory HenryRavyn Lenae,,Zero Fatigue / Motown,37,Gilles Peterson,05/11/2022,2022-11-05T15:00:00+00:00
VANO 3000Samuel T. HerringBADBADNOTGOOD,Running Away,,Innovative Leisure,38,Gilles Peterson,05/11/2022,2022-11-05T15:00:00+00:00
Liv.e,Ghost,,In Real Life,39,Gilles Peterson,05/11/2022,2022-11-05T15:00:00+00:00
Pearson Sound,Red Sky,,Hessle Audio,40,Gilles Peterson,05/11/2022,2022-11-05T15:00:00+00:00
SAULT,Still Waters,,,41,Gilles Peterson,05/11/2022,2022-11-05T15:00:00+00:00
Nat Birchall,Heart-Spirit-Love,,Gondwana Records,42,Gilles Peterson,05/11/2022,2022-11-05T15:00:00+00:00
Moin,Hung Up,,AD 93,0,Gilles Peterson,Joining the musical dots: Maya Delilah & Conor Albert,2022-10-08T15:00:00+01:00
Nim Sadot,You Don't Really Exist,,Self Released,1,Gilles Peterson,Joining the musical dots: Maya Delilah & Conor Albert,2022-10-08T15:00:00+01:00
Moin,Melon,,AD 93,2,Gilles Peterson,Joining the musical dots: Maya Delilah & Conor Albert,2022-10-08T15:00:00+01:00
Sault,Angel,,Forever Living Originals,3,Gilles Peterson,Joining the musical dots: Maya Delilah & Conor Albert,2022-10-08T15:00:00+01:00
King James Version,He's Forever (Amen),,Soul Kitchen,4,Gilles Peterson,Joining the musical dots: Maya Delilah & Conor Albert,2022-10-08T15:00:00+01:00
Machine,Time Is Running Out,,We Want Sounds,5,Gilles Peterson,Joining the musical dots: Maya Delilah & Conor Albert,2022-10-08T15:00:00+01:00
Gabriels,Mama,,Parlophone,6,Gilles Peterson,Joining the musical dots: Maya Delilah & Conor Albert,2022-10-08T15:00:00+01:00
Emma Jean Thackery,The Road Trip To Saturn,,Movementt,7,Gilles Peterson,Joining the musical dots: Maya Delilah & Conor Albert,2022-10-08T15:00:00+01:00
Tom Skinner,The Journey,,Brownswood,8,Gilles Peterson,Joining the musical dots: Maya Delilah & Conor Albert,2022-10-08T15:00:00+01:00
Balimaya Project,Seasons in Baraka,,jazz re:freshed,9,Gilles Peterson,Joining the musical dots: Maya Delilah & Conor Albert,2022-10-08T15:00:00+01:00
Elusive,Salvus,,Alpha Pup,10,Gilles Peterson,Joining the musical dots: Maya Delilah & Conor Albert,2022-10-08T15:00:00+01:00
Maya Delilah,Harvest Moon,,Blue Note,11,Gilles Peterson,Joining the musical dots: Maya Delilah & Conor Albert,2022-10-08T15:00:00+01:00
Conor Albert,Piano Joint,,Ninja Tune,12,Gilles Peterson,Joining the musical dots: Maya Delilah & Conor Albert,2022-10-08T15:00:00+01:00
Conor Albert,You Make Me Feel So Good,,Blue Note,13,Gilles Peterson,Joining the musical dots: Maya Delilah & Conor Albert,2022-10-08T15:00:00+01:00
Pharoah Sanders,Youve Got to Have Freedom,,Expansion,14,Gilles Peterson,Joining the musical dots: Maya Delilah & Conor Albert,2022-10-08T15:00:00+01:00
Konkolo Orchestra,Blue G,,Rocafort Spain,15,Gilles Peterson,Joining the musical dots: Maya Delilah & Conor Albert,2022-10-08T15:00:00+01:00
Florence Adooni,Fa Yella,,Philophon,16,Gilles Peterson,Joining the musical dots: Maya Delilah & Conor Albert,2022-10-08T15:00:00+01:00
SminoJ. Cole,90 PROOF,,Motown Records,17,Gilles Peterson,Joining the musical dots: Maya Delilah & Conor Albert,2022-10-08T15:00:00+01:00
DOMi & JD BECK,WHAT UP,,Apeshit/Blue Note,18,Gilles Peterson,Joining the musical dots: Maya Delilah & Conor Albert,2022-10-08T15:00:00+01:00
Fabiano do Nascimento,Noite,,Now Again,19,Gilles Peterson,Joining the musical dots: Maya Delilah & Conor Albert,2022-10-08T15:00:00+01:00
Soyuz,Beige Days,,Mr Bongo,20,Gilles Peterson,Joining the musical dots: Maya Delilah & Conor Albert,2022-10-08T15:00:00+01:00
Carlihos Santos,Alem Do Mar,,Selo Do Artista,21,Gilles Peterson,Joining the musical dots: Maya Delilah & Conor Albert,2022-10-08T15:00:00+01:00
Miquelas e lei Chapacans,A Cantar,,Finders Keepers,22,Gilles Peterson,Joining the musical dots: Maya Delilah & Conor Albert,2022-10-08T15:00:00+01:00
Bruno Pernadas,Spaceway 70,,Pataca Discos,23,Gilles Peterson,Joining the musical dots: Maya Delilah & Conor Albert,2022-10-08T15:00:00+01:00
Kiosk,Mona Call,,Disques Vogue,24,Gilles Peterson,Joining the musical dots: Maya Delilah & Conor Albert,2022-10-08T15:00:00+01:00
Chris Bangs,Kitchen,,Acid Jazz Records,25,Gilles Peterson,Joining the musical dots: Maya Delilah & Conor Albert,2022-10-08T15:00:00+01:00
Gersinho,Noves Fora,,Continental,26,Gilles Peterson,Joining the musical dots: Maya Delilah & Conor Albert,2022-10-08T15:00:00+01:00
Ananda Shankar,Dancing Drums,,Saregama,27,Gilles Peterson,Joining the musical dots: Maya Delilah & Conor Albert,2022-10-08T15:00:00+01:00
Anish Kumar,Ananda,,Anish Kumar,28,Gilles Peterson,Joining the musical dots: Maya Delilah & Conor Albert,2022-10-08T15:00:00+01:00
La Famalia Sen,Angelio,,Out There,29,Gilles Peterson,Joining the musical dots: Maya Delilah & Conor Albert,2022-10-08T15:00:00+01:00
Surprise Chef,Money Music,,Big Crown,30,Gilles Peterson,Joining the musical dots: Maya Delilah & Conor Albert,2022-10-08T15:00:00+01:00
Wu-Lu,Scrambled Tricks (Live at Maida Vale),,,31,Gilles Peterson,Joining the musical dots: Maya Delilah & Conor Albert,2022-10-08T15:00:00+01:00
Dorian Concept,You're Untouchable,,Brainfeeder,32,Gilles Peterson,Joining the musical dots: Maya Delilah & Conor Albert,2022-10-08T15:00:00+01:00
Beth Orton,Weather Alive (Live at Maida Vale),,,33,Gilles Peterson,Joining the musical dots: Maya Delilah & Conor Albert,2022-10-08T15:00:00+01:00
The Vernon SpringadenGhostpoet,"Earth, On A Good DayadenGhostpoet",,Lima Limo Records,34,Gilles Peterson,Joining the musical dots: Maya Delilah & Conor Albert,2022-10-08T15:00:00+01:00
Upper Reality,That's What You Want,,Alpha Pup Records,35,Gilles Peterson,Joining the musical dots: Maya Delilah & Conor Albert,2022-10-08T15:00:00+01:00
Daphini,Falling in Love,,Jiaolong,36,Gilles Peterson,Joining the musical dots: Maya Delilah & Conor Albert,2022-10-08T15:00:00+01:00
Mark Holder,Music Turns Me On,,Dervia,37,Gilles Peterson,Joining the musical dots: Maya Delilah & Conor Albert,2022-10-08T15:00:00+01:00
Musique Tshiluba,Masekini,,Out There,38,Gilles Peterson,Joining the musical dots: Maya Delilah & Conor Albert,2022-10-08T15:00:00+01:00
Gyedu-Blay Ambolley,Yekor Ye A Yeaba,,Agogo Records,39,Gilles Peterson,Joining the musical dots: Maya Delilah & Conor Albert,2022-10-08T15:00:00+01:00
Barbatuques(Wolf Müller's Drum Drop),Baiana(Wolf Müller's Drum Drop),,Optima Records,40,Gilles Peterson,Joining the musical dots: Maya Delilah & Conor Albert,2022-10-08T15:00:00+01:00
Nia Archives,Baiana,,Universal-Island Records,41,Gilles Peterson,Joining the musical dots: Maya Delilah & Conor Albert,2022-10-08T15:00:00+01:00
Fracture,860,,Astrophonica,42,Gilles Peterson,Joining the musical dots: Maya Delilah & Conor Albert,2022-10-08T15:00:00+01:00
Mount Kimbie,Zone 1 (24 Hours),,Warp Records,43,Gilles Peterson,Joining the musical dots: Maya Delilah & Conor Albert,2022-10-08T15:00:00+01:00
William Parker,Silver Sunshine,,AUM Fidelity,44,Gilles Peterson,Joining the musical dots: Maya Delilah & Conor Albert,2022-10-08T15:00:00+01:00
Milton NascimentoBelmondo,Nada Será Como Antes,,B Flat Recordings,42,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
Freddie HubbardTed NashCraig Handy,Red ClayTed NashCraig Handy,,CTI Records,0,Gilles Peterson,"Joining The Musical Dots: Tara Lily, Black Thought & Nok Cultural Ensemble",2022-10-01T15:00:00+01:00
Gabriels,Angels & Queens,,Atlas Artists / Parlophone Records,1,Gilles Peterson,"Joining The Musical Dots: Tara Lily, Black Thought & Nok Cultural Ensemble",2022-10-01T15:00:00+01:00
Chaka Khan,Live In Me,,ABC Records,2,Gilles Peterson,"Joining The Musical Dots: Tara Lily, Black Thought & Nok Cultural Ensemble",2022-10-01T15:00:00+01:00
Ryan Porter,The Black Flame,,,3,Gilles Peterson,"Joining The Musical Dots: Tara Lily, Black Thought & Nok Cultural Ensemble",2022-10-01T15:00:00+01:00
"Grover Washington, Jr.",Hydra,,Verve Reissues,4,Gilles Peterson,"Joining The Musical Dots: Tara Lily, Black Thought & Nok Cultural Ensemble",2022-10-01T15:00:00+01:00
Ari Lennox,POF,,Dreamville / Interscope,5,Gilles Peterson,"Joining The Musical Dots: Tara Lily, Black Thought & Nok Cultural Ensemble",2022-10-01T15:00:00+01:00
