artist,title,album,recordLabel,sequence,programTitle,episodeTitle,episodeTimestamp
Larry Young,Turn Off The Lights,,Arista,1,Gilles Peterson,"Joining The Musical Dots: Erykah Badu, Jeff Parker",2022-11-12T15:00:00+00:00
Actress,Fragments of a Butterfly's Face,,Ninja Tune,2,Gilles Peterson,"Joining The Musical Dots: Erykah Badu, Jeff Parker",2022-11-12T15:00:00+00:00
Ezra CollectiveKojey Radical,No ConfusionKojey Radical,,Partisan Records,3,Gilles Peterson,"Joining The Musical Dots: Erykah Badu, Jeff Parker",2022-11-12T15:00:00+00:00
Wau Wau Collectif,Xale (Toubab Dialaw Kids Rhyme),,Universal Music,4,Gilles Peterson,"Joining The Musical Dots: Erykah Badu, Jeff Parker",2022-11-12T15:00:00+00:00
James Cockerham,Everybody Ought To Praise His Name,,,5,Gilles Peterson,"Joining The Musical Dots: Erykah Badu, Jeff Parker",2022-11-12T15:00:00+00:00
Conic Rose,Gleisdreieck,,,6,Gilles Peterson,"Joining The Musical Dots: Erykah Badu, Jeff Parker",2022-11-12T15:00:00+00:00
Jeff Parker,Suffolk,,International Anthem,7,Gilles Peterson,"Joining The Musical Dots: Erykah Badu, Jeff Parker",2022-11-12T15:00:00+00:00
Isotope 217,Phonometrics,,Thrill Jockey Records,8,Gilles Peterson,"Joining The Musical Dots: Erykah Badu, Jeff Parker",2022-11-12T15:00:00+00:00
Tortoise,Ten-Day Interval,,Thrill Jockey Records,9,Gilles Peterson,"Joining The Musical Dots: Erykah Badu, Jeff Parker",2022-11-12T15:00:00+00:00
Jeff Parker,La Jetee (Live on BBC Radio 6 Music),,,10,Gilles Peterson,"Joining The Musical Dots: Erykah Badu, Jeff Parker",2022-11-12T15:00:00+00:00
Jeff Parker,43654,,eremite records,11,Gilles Peterson,"Joining The Musical Dots: Erykah Badu, Jeff Parker",2022-11-12T15:00:00+00:00
tyroneisaacstuart,Pure Body,,New Soil,12,Gilles Peterson,"Joining The Musical Dots: Erykah Badu, Jeff Parker",2022-11-12T15:00:00+00:00
STR4TAEmma‐Jean Thackray,Lazy DaysEmma‐Jean Thackray,,Brownswood Recordings,13,Gilles Peterson,"Joining The Musical Dots: Erykah Badu, Jeff Parker",2022-11-12T15:00:00+00:00
Alan Kaufman,Ivory Fantasy,,,14,Gilles Peterson,"Joining The Musical Dots: Erykah Badu, Jeff Parker",2022-11-12T15:00:00+00:00
Facta & K-LONE,"Kiss Me, Can't Sleep",,Wisdom Teeth,15,Gilles Peterson,"Joining The Musical Dots: Erykah Badu, Jeff Parker",2022-11-12T15:00:00+00:00
Nathan Fake,Dinamo,,Traum Schallplatten,16,Gilles Peterson,"Joining The Musical Dots: Erykah Badu, Jeff Parker",2022-11-12T15:00:00+00:00
Freedom Sounds,Feelings,,,17,Gilles Peterson,"Joining The Musical Dots: Erykah Badu, Jeff Parker",2022-11-12T15:00:00+00:00
Cloud,Visions,,,18,Gilles Peterson,"Joining The Musical Dots: Erykah Badu, Jeff Parker",2022-11-12T15:00:00+00:00
Ezra CollectiveNAO,Love In Outer SpaceNAO,,Partisan Records,19,Gilles Peterson,"Joining The Musical Dots: Erykah Badu, Jeff Parker",2022-11-12T15:00:00+00:00
Ezra Collective,Never The Same Again,,Partisan Records,20,Gilles Peterson,"Joining The Musical Dots: Erykah Badu, Jeff Parker",2022-11-12T15:00:00+00:00
Serena AssumpcaoLuêZe Celso Martinez CorreaKarina Buhr,ExuLuêZe Celso Martinez CorreaKarina Buhr,,Selo Sesc,21,Gilles Peterson,"Joining The Musical Dots: Erykah Badu, Jeff Parker",2022-11-12T15:00:00+00:00
Gal Costa,Segunda,,,22,Gilles Peterson,"Joining The Musical Dots: Erykah Badu, Jeff Parker",2022-11-12T15:00:00+00:00
Jon MarkJohnny Almond,The City,,Blue Thumb,23,Gilles Peterson,"Joining The Musical Dots: Erykah Badu, Jeff Parker",2022-11-12T15:00:00+00:00
Erykah Badu,No Love,,Kedar Music/Universal Music,24,Gilles Peterson,"Joining The Musical Dots: Erykah Badu, Jeff Parker",2022-11-12T15:00:00+00:00
